Problem Family,Problem Variation,Relevant?,Year of creation,"Type of Bound 
(trivial - obvious, full - has been proved and published, 
none - no bound, -- is an extra resource and not a bound )",Restricted Version?,Transition Class,Reduction Type,Run Time Lower Bound,Time Complexity Class,Exact Inapprox. Ratio,Parameter,"""Rounded"" Inapprox Ratio",Approximation Factor Class (Mult),Fixed Parameters,Lower Bound (input-based),Model of Computation,Link,Year,Key / Authors,Paper,"Randomized? (N = No, Y = Yes)","Conditional? (N = No, Y = Yes)",Conditional conjecture,Derived by:,Caveats/Notes
Clique Problems,Max-Size Clique (Approximate),1,,,,,,polynomial,7,$N^{1/3}-\epsilon$,any epsilon>0,$N^{1/3}$,7.666,,,RAM,https://www.cs.umd.edu/~gasarch/TOPICS/pcp/bgsfreebits.pdf,1995,"MIHIR BELLARE , ODED GOLDREICH , AND MADHU SUDAN","FREE BITS, PCPS AND NON-APPROXIMABILITY – TOWARDS
TIGHT RESULTS",N,Y,coRP not equal NP,,
Clique Problems,Max-Size Clique (Approximate),1,,,,,,polynomial,7,$N^{1/3}-\epsilon$,any epsilon>0,$N^{1/3}$,7.666,,,RAM,https://dl.acm.org/doi/10.1145/237814.237820,1996,Johan Håstad,Testing of the long code and hardness for clique,N,Y,P not equal NP,,
Clique Problems,Max-Size Clique (Approximate),1,,,,,,polynomial,7,$N^{1/2}-\epsilon$,any epsilon>0,$N^{1/2}$,8,,,RAM,https://dl.acm.org/doi/10.1145/237814.237820,1996,Johan Håstad,Testing of the long code and hardness for clique,Y,Y,coRP not equal NP,,
Clique Problems,Max-Size Clique (Approximate),1,,,,,,polynomial,7,$N^{1-\epsilon}$,any epsilon>0,$N$,8.96,,,RAM,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=548522,1996,Johan Hastad,Clique is hard to approximate within n^{1-\epsilon},N,Y,NP not equal coR,,
Clique Problems,Max-Size Clique (Approximate),1,,,,,,polynomial,7,$N^{1/2}-\epsilon$,any epsilon>0,$N^{1/2}$,8,,,RAM,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=ddb3319495f3c58c41e445f11187a57c3e388462,2002,Johan Hastad,Clique is Hard to Approximate within n^{1-\epsilon},N,Y,P not equal NP,,
Clique Problems,Max-Size Clique (Approximate),1,,,,,,polynomial,7,$N^{1-\epsilon}$,any epsilon>0,$N$,8.96,,,RAM,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=ddb3319495f3c58c41e445f11187a57c3e388462,2002,Johan Hastad,Clique is Hard to Approximate within n^{1-\epsilon},N,Y,NP not equal ZPP,,
Clique Problems,Max-Size Clique (Approximate),1,,,,,,polynomial,7,$N^{1-O(1/\sqrt{\log\log n})}$,,$N$,8.96,,,RAM,https://link.springer.com/chapter/10.1007/3-540-45022-x_2,2002,Lars Engebretsen and Jonas Holmerin,Clique Is Hard to Approximate within n^{1−o(1)},N,Y,NP not a subset of ZPTIME(2^(O(log n(log log n)^3/2)),,
Clique Problems,Max-Size Clique (Approximate),1,,,,,,polynomial,7,$N^{1-1/(\log n)^{c}},fixed c>0,$N$,8.96,,,RAM,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=959936,2001,Subhash Khot,"Improved Inapproximability Results for MaxClique, Chromatic Number and
Approximate Graph Coloring",N,Y,NP not a subset of ZPTIME(2^((log n)^(O(1)))),,
Clique Problems,Max-Size Clique (Approximate),1,,,,,,polynomial,7,$\frac{N}{2^{(\log n)^{3/4+c}}}$,fixed c>0,$N$,8.96,,,RAM,https://link.springer.com/chapter/10.1007/11786986_21,2006,Subhash Khot and Ashok Kumar Ponnuswami,"Better Inapproximability Results for MaxClique,
Chromatic Number and Min-3Lin-Deletion",N,Y,NP not a subset of BPTIME(2^((log n)^(O(1)))),,
Clique Problems,Max-Size Clique (Approximate),1,,,,,,polynomial,7,$N^{1-\epsilon}$,any epsilon>0,$N$,8.96,,,RAM,https://theoryofcomputing.org/articles/v003a006/,2007,David Zuckerman,Linear Degree Extractors and the Inapproximability of Max Clique and Chromatic Number,N,Y,P not equal NP,,
